Id,Label,Text
5.12056E+17,Negative,an uh she wanna pillow fight in the middle of the night 💔
5.13903E+17,Negative,I miss this girl so much. 😭 http://t.co/XPKWvWMgsi
5.14932E+17,Negative,RT @RavenChristiana: RT!!😩“@zahiranichole: So obsessed wit my bf its unhealthy”
5.1454E+17,Negative,I hate seeing parents beat their kids in public 😳
5.12384E+17,Positive,"💫@fxckinconnor 
LISTENING TO PSYCOBABBLE WHILE DOING THESE LOLOL http://t.co/RMfgsxKuzn"
5.13634E+17,Positive,@ahoinarry MONA OMFJHLOKBFILL IT BECAME REALITY 😭🎉👯  I'M A PSYCHIC 😏
5.11547E+17,Positive,RT @Bossdaddysydney: “@bigbossdream: @Bossdaddysydney lol ya look soo good 😄😄” thank you ☺️
5.11553E+17,Neutral,RT @averageIifegoal: Imagine having this in your backyard 👌👌😮 http://t.co/j2VgdYvOUd
5.13449E+17,Neutral,battling this cold with some cold911 tea 😷 http://t.co/EyzOCxQ4Ir
5.11568E+17,Neutral,this check just held up everythingggg. 😩 gimme a loan or sum yo.
5.11666E+17,Positive,“@justcourtd: I love you 🌈💜😘” I love you too bae
5.13815E+17,Positive,I hope and pray today hist lesson not using comp. 😌
5.11561E+17,Positive,Drake really nice with this shit 💯❗️
5.14292E+17,Positive,@souljaboy is so childish😂😂😂😂😂😂😂😂😂😂😂😂😂
5.12361E+17,Positive,#wcw @AndreaRussett 😍😍😍🙈❤ She is just so perfect 👌 like can I have your face 🌑😊 http://t.co/ee20Rb2Td7
5.13782E+17,Negative,&amp; that's fine💁😌 “@KirbBall_411: Now I have to add the Redskins to a team I dont like”
5.13305E+17,Positive,Gonna see my girlfriend today 😁
5.14608E+17,Neutral,@Foreverjana__ follow back 💯😊
5.14238E+17,Negative,Forever sneak dissing 👐
5.14416E+17,Positive,Happy I don't got class until 2 😌
5.14131E+17,Negative,RT @kinky: so when tf is this gonna happen? 😳 http://t.co/QhJtZporuB
5.11734E+17,Negative,@rroyal_lady I Hate that it's True😩
5.15102E+17,Positive,RT @itsmekatsumi: Can I have your daughter for the rest of my life? 😊
5.12768E+17,Negative,Circle small  cause these niggas turn fake 🙅😡🔥🔪
5.12442E+17,Neutral,RT @Kylie_Rose17: LIFE RIGHT NOW. 😍
5.14541E+17,Positive,"RT @_briizzaaay: @makiaah @metrie__ 😭ppl love acting different , goodbye👋"
5.13534E+17,Positive,Oh how amazing are the Ducks 😍
5.11495E+17,Negative,RT @thabestvines: humiliation 😂🙌 https://t.co/87r6uXLefD
5.13112E+17,Neutral,"🌿🔮🌿🔮🌿🔮🌿🔮🌿

HEY YOU LUKE HEMMINGS
FROM 5SOS
I LOVE YOU MORE THAN ANYTHING
PLEASE FOLLOW ME?
HAVE AN AMAZING DAY
@Luke5SOS

🌿🔮🌿🔮🌿🔮🌿🔮🌿
x4838"
5.13025E+17,Positive,"😍@Michael5SOS😍
🌞ur my sunshine🌞
😊u make me happy when skies are gray😊
⭐can u take a second&amp;follow me?⭐
💛i love u💛#EMABiggestFans5SOS
✖21,072"
5.12557E+17,Neutral,I will be opening up for CHINX SEPT 25th $25 a ticket!!!!!! Passions Night Club Hartford CT🔥 BH In the building!! 21+ http://t.co/AcfDLCXFuZ
