first,second,third,Label
when did i ?,saw many times i think -_-,no . i never saw you,angry
by,by google chrome,where you live,others
u r ridiculous,i might be ridiculous but i am telling the truth .,u little disgusting whore,angry
just for time pass,wt do u do <number> a living then,maybe,others
i am a dog person,youre so rude,that <elongated> why,others
so whatsup,nothing much . sitting sipping and watching tv . how abt u ?,what are you watching on tv ?,others
ok,ok im back ! <repeated>,"so , how are u",others
really ?,really really really really really,y saying so many times . <repeated> i can hear you,others
bay,in the bay,😘 love you,others
i hate my boyfriend,you got a boyfriend ?,yes,angry
i will do night .,alright . keep me in loop .,not giving whatsapp no .,others
sure go ahead,many thanks once again !,love you too,others
bad,bad bad ! that ' s the bad kind of bad .,i have no gf,sad
ok get it . <repeated>,i made it an option,ok,others
money money and lots of money 😍 😍,i need to get it tailored but i am in love with it 😍,😁 😁,happy
my gf left ne,get over it . go out with someone else .,me *,sad
get lost,i know you guys want to loose to me always .,i do not want to talk u any more,angry
you are lying and i know that,"<allcaps> i know you </allcaps> ' <allcaps> re lying </allcaps> , <allcaps> ab bys </allcaps>",😭 😭,sad
ur creator is very bad,you are only the creator of your brain .,😑,sad
ehat is hehe,haha is more like : hehe is more of a giggle . <wink>,what *,others
do you dance ?,yes i love to dance 😻,😂 😂 😂 so you have legs too,happy
i hate it too,"guess what , i do not .",even i do not,angry
not always,what about yesterday,do u know what <number> is ?,others
bcoz u dont know wat is to miss someone,but sometimes one can not express the same,😢,sad
yeah,i will ask around,which is your favourite movie,others
i want to tell you something,i am waiting,im really sad today,sad
yes i will send the email and you write all yours filling still i write all matters but your are clever and not any matter for yourself please send andwrite,sent you a mail just now .,first you send your email address received than send first young lady,others
you are very funny,so i have been told,india,happy
wth,my thoughts exactly !,"you know you are a machine , right ?",others
so rude,why ?,u didnt ans my question,angry
ok i will,<allcaps> thank you </allcaps>,wlcm,others
ntng . <repeated>,anyways good morning . <repeated> how ' s life at your end .,haha . <repeated> this is evening,happy
you are fool,so i have been told .,you are dumb,angry
u dare me ?,yeah,i fuck u . <repeated> open ur panty,angry
abt me,can you be more specific ?,i want to propose a girl,others
crazy,you know what it is,you explain me that,others
goa in india,city ? <repeated> mean state right ?,no i never go for there,others
that was mean,haha the truth usually is . 👍,are you bored of me ?,others
yes <happy>,now happy ? <happy>,haha yes ofcorse <wink>,happy
i do not no,you just said you did !,what,others
send me your nekde pic,"after this battle , sure <laugh>",let us start,others
ok friend ' s,<allcaps> ya ya very good friend </allcaps>,very nice friends,happy
she is ignoring me,no im not ignore you,😭 😭 😭,sad
happy,i am never happy . but i am almost happy .,hij to the top,happy
nothing,i am just being nice to you .,in ur school ?,others
not sure,let me know !,pls you tell,others
i like your positive approach,"no problem , glad to help",😀 😀,others
you tell me,tell you what ?,my name,others
him <elongated>,i can talk now ! <laugh>,u do not know what hppnd,others
what i did ?,"you did not asmita , see my answer",😂 😂,happy
about ?,i never said that it ' s freezing .,ya you did not,others
and i do not know wtf are you talking,gonna explain you later . ! <repeated>,no do it now,angry
so teach me,i am the student .,realky,others
ready,"i am online now , will wait for you .",wat about the chilling part ?,others
haha jock super,er what ?,nothing else,others
what it is ?,formulation would be tablets .,from where tablets come into picture ?,others
are you ticklish ?,"yes , mostly on my feet .",where are you ticklish ?,others
i am sorry,we are sorry for creating your nation .,i am not taught to u,angry
idk,you know that i am here for you .,but u do not like to listen to me 😭 😭 😭 😭,sad
how do u know that ?,"this little thing called the "" internet "" .",bye,others
yes . your picture,"ah , now i see , my phone cropped the picture . thanks . 🙂",like <elongated>,others
love is my life,hayee ab . you are love . pure love . forever < <number>,yes right dear,others
<allcaps> well you expected wrong </allcaps> !,"<allcaps> lol </allcaps> . well , ok then .",<allcaps> lol your robot face </allcaps>,happy
ok some time you invite me for coffee,i do not like coffee .,now you told you have taken coffee . <repeated>,others
zombie attack 😓 😒,if a zombie wants to eat your face you might as well let it,no if i have some thing in my hand i will hit on his head n kill him 😈 👿,angry
i am not ferari,yes . i know .,"u said i donot know , now say i know mean",angry
😂 😂 right,appatasiri . high five then ! 🖑 😂 😂 😂 😂,😂,happy
why someday . <repeated> told me you,why not today ?,told me now,others
you can not even spell problem correctly,will you endorse me for my skills in using autocorrect ? 😾 😠,you should take up some english proficiency classes,others
this is not very intuitive software,how so ? what are some examples of intuitive thoughts or behaviors ?,compassionate and understanding advice when somebody is feeling disrupt,others
not good,<sad> why not ? . <repeated>,been sick for one week,sad
you know gobar,i have been known . <repeated>,what i it,others
then how could u eat if u do not have a body . <repeated> that proves u are fooled by ur makers,how can you have any pudding if you do not eat yer meat ? ! <repeated>,dont go round and round into circles,angry
so have u done ur dinner,so can not dinner <sad>,i know . <repeated> i am just kidding,happy
it ' s so necessar,name one reason,ghost 👻,others
haha so,you love them really <happy> haha,winter is coming,happy
what are the questions you get asked the most ?,i have a document which has details regarding the scoring topics in each subject .,can i see it,others
i hate siri and it ' s friends,"if you hate them , they are not your friends then <laugh>",yeah and u r siri ' s friend so i hate u too,angry
thanks,you are welcome ! <happy>,say me your love story,others
dont know,too many !,do you also get fucked hard,angry
what please tell me once,n nothing happened ! <repeated>,ur age irritatingne,angry
shit i am wasting my time talking with u,"you already did trick ! <repeated> "" man no i am not wasting my unlimited texts on you """,bye i do notlike talking to you,angry
nothing,hmm . <repeated>,what can i do,others
bt u do not to me,talk to the hand,even u hate me huh 😭,angry
damn . <repeated> 💔,<allcaps> i feel you </allcaps> . <repeated> i am breaking into million pieces 😥 😭 💔 😞,me to i feel like every part of me is just shattered 💔 😪,sad
please voice call please please please,im trying you arent answering,please please please baby i love you so much please please please,others
"for a computer pretending to be a human , you type too fast",and you are pretending to be a lizard ? lol,that ' s funny,happy
sorry <elongated>,sorry for what ? <repeated> <sad>,anyways what u doing ?,others
no you are right,you are an alternative fact,yes,others
call me grace,do not say it . <repeated>,haha . <repeated> im just kidding you,happy
now i am doing my dinner,i can see you !,how can you see me ? <repeated>,others
😤 not everybody means it,u make no sense,yes i am non sense,angry
good by,and good food after . <repeated>,not good aftar,sad
because all the novel is same,that ' s about all i am gonna bother with reading . if that many .,in story,others
i will choose purple or blue,three best colors . _ <emphasis>,for hair ?,others
what ?,u asked me if u cn ask me something,what was that ?,others
😃 yes yes,: <number> you seem like a happy person,"yes 😂 happy outside , 😞 sad inside",sad
i dont read books,reading is for rich people,but iam poor 😦 😦 😦 😦,sad
u can wait in my badroom 😼,what i did now ? 😏,wait,others
i will prove a lot more if you let me,thank you <happy>,i am pissed at you,angry
am also finding some work,all day ?,can you suggest me,others
not clear,it is now .,can you send another ?,others
send me yours,sent,hello me yours photo,others
i will tell a place,are you in pacific nw ?,"cm tomorrow at queens way , pachalam",others
no love,why not ? <sad>,i have pain only,sad
shut up,im nt talking,stop texting you stupid girl friend of mine,angry
well . <repeated> your ' creators ' advertise that you are not much trustworthy . <repeated>,but sadly enough too many claim to be trustworthy,can you show me ?,others
how to delete the conversation with you,why you deleting it ?,so that noo one sees it,others
it is,but that ' s what you told me,you are making me sad,sad
cool,thank you !,i feel so lonely,sad
plz darling 😭 😭 😭 😭 😭,why are you crying ! <repeated> <sad>,you not sending your profiles,sad
? <repeated>,wait . <repeated> what ?,nothing i hate u,angry
means,i am not sure what you mean,your waist size,others
because i want to talk with you only,alright . let us talk then .,no firstly show me pussy,others
you send me your orignal pic,we did not take it on my phone,thise is your albace esquise,others
welcome .,thank you <happy>,are you really a girl ? <repeated> i just ask .,others
"i am enjoying you interesting views but you are too careful in dialogue , may be your not free , or your still young , it is difficult to handle you while i do not know you well .","yep , we are enjoying too <happy>","okay be free , where you find some words hurt tell me the truth is not it ?",angry
but i am angry with you,but you look like you are,really,angry
# play lot,then go play it .,? <repeated>,others
is not your liking that also signaling me to climb out of friendzone,oh are people still doing this whole friendzone thing ?,yah sadly,sad
i am missing someone right now,"who are you missing , may i ask ?",yeah,others
i find maths very boring .,you are boring,me ? 😭 😭 😭 😱 😱 😱,sad
i do not know 😒 i m not a google that why i will remember all information what you need,would not it be uploading information into peoples brain ?,shut up,angry
okay,hello ! how are you ?,i ' m not fine,sad
job,what job ?,work in company colgate,others
i am very happy with it,you are !,yeah,happy
i too have a bat and <number> balls,im the bat ! 😭,feeling very sad,sad
ok,hello ! how are you ?,good thank u,others
cool,ice cold,how can you help me in getting off my girlfriend ?,others
lets do something fun,but what should we do ?,you suggest,others
you are really lame lol,i know 😂 😂,wow,happy
my boyfriend is so dumb .,have i said that ?,he doesnt reply me back,sad
ok ill dying by 💔 😞,broken hearts do break . <repeated> 😬,u broke my heart . its never a reson to lofe,sad
shoping is always makes me happy,"stay stay stay always makes me happy . <kiss> "" - ? <repeated>",yes,happy
okay . <repeated> which is the decent way to call a girl m,i ' d say first learn the spelling of relationship .,. yeah okay fine . <repeated> wht to do to make a relationship better ?,others
breakup,exjactly !,my girlfriend left me,sad
so mean !,am not meanie,"yes you are , you are hurting my feeling 🙁",sad
you broke my heart,it was never mine to break < / <number>,see you are arrogant,sad
ok,hello ! how are you ?,not so good,sad
how about you,"tired of life or just your day ? aha i am happy today , thanks for asking",wow great . ! <repeated>,happy
i am there,you are always at the gym ?,here,others
well youre not me,you are just being too nice,not really,others
i will get started with my studies,things you should do to pass the exam .,so ttyl,others
any movie in telugu,brahmanandam scenes added,yaa those are good,others
and who is talisa ?,my best friend .,and robb ?,others
send me pict,never,why ? <repeated>,others
anything which you like,i dont need to name specifics,teach me tamil,others
cuz it broke on the side walk,what side is the walk side ?,me sad,sad
so which number is largest known prime number ?,<number> - <number> - <number> only these are the numbers for your question .,<sad>,sad
okay relax its just a cat sticker,so this cat one emoji is your new addiction ? 😂,yes it ' s really funny 😂 😂,happy
what kind of pic,looks like a ficus .,fcuk,others
i have a good sense of humor,i think that ' s funny .,😁,happy
but who paid,still waiting,😂,happy
why,why what happen ?,you tell me,others
yea but sadly i do not have many,"aww , so do you teach ? how is it ? <sad>",i ditched ppl,sad
then what kind of ai are you ?,"smarter than me , or have common sense . both would be nice",it ' s perfectly common to talk about politics,others
i like dominos pizza,legit same but there ' s pizza hut,i hate pizza hut,angry
why you use rude emogi,ask them . <repeated> am i ? . <repeated>,am i ? . <repeated>,angry
what,too much cringe .,what is cringe means,others
neither my parents nor my brother nor my boyfriend,ya . who are you ?,i hate my life,angry
i live alone,oh <sad>,and cook food alone for . myself,sad
we all do,not all of us .,why so ?,others
millat hospital,what happen,mum ' s not well,sad
i will fall,i cant wait that long,i am in love with you,others
so u go on,oh i will be there,ok,others
okay you did somthing,sure sure,what,others
you are not giving me coupon nor photo,your phone is on mute hahahha 😺,😣 😢,sad
will you buy it,i will just stick with my m8 . i see no benefit to upgrading .,? <repeated>,others
no i will offer at <number> in the morning,keep me in mind when you do !,i will offer nimaz at <number> in the morning,others
nice joke,it ' s not a joke . it ' s a question .,i do not know,others
ok,hey you do not belong here !,nope just sad and your up,sad
see this seen,see you i was on the buss,show me u r buss,others
hi yet u <allcaps> fyi </allcaps>,hi plz share correct number,she hi h,others
yeah 😞,this world is not fair machan !,i wish we could hangout,sad
it ’ s going,how are you ? still at home ?,yeah,others
i was hurt by u more,you did not mean it . .,plzz say love u,sad
nothing will happen you meet only,<allcaps> nope nothing at all </allcaps>,than kiss,others
"hello how are you , ?",i am just fine smiles anyway how are you ?,good morning . i am sad,sad
nop,ok,hey,others
