first,second,third,Label,Text
Bay,in the bay,😘 love you,others,Bay in the bay 😘 love you
Money money and lots of money😍😍,I need to get it tailored but I'm in love with it 😍,😁😁,happy,Money money and lots of money😍😍 I need to get it tailored but I'm in love with it 😍 😁😁
You are lying and i know that,"I KNOW YOU'RE LYING, AB BYS",😭😭,sad,"You are lying and i know that I KNOW YOU'RE LYING, AB BYS 😭😭"
Ur creator is very bad,you are only the creator of your brain.,😑,sad,Ur creator is very bad you are only the creator of your brain. 😑
Do you dance?,Yes I love to dance 😻,😂😂😂 so you have legs too,happy,Do you dance? Yes I love to dance 😻 😂😂😂 so you have legs too
Bcoz u dont know wat is to miss someone,but sometimes one can't express the same,😢,sad,Bcoz u dont know wat is to miss someone but sometimes one can't express the same 😢
That was mean,haha the truth usually is. 👍,Are you bored of me?,others,That was mean haha the truth usually is. 👍 Are you bored of me?
She is ignoring me,no im not ignore you,😭😭😭,sad,She is ignoring me no im not ignore you 😭😭😭
I like your positive approach,"No problem, glad to help",😀😀,others,"I like your positive approach No problem, glad to help 😀😀"
What I did?,"You didn't Asmita, see my answer",😂😂,happy,"What I did? You didn't Asmita, see my answer 😂😂"
Idk,You know that I'm here for you.,But u don't like to listen to me😭😭😭😭,sad,Idk You know that I'm here for you. But u don't like to listen to me😭😭😭😭
Zombie attack😓😒,If a zombie wants to eat your face you might as well let it,No if I have some thing in my hand I will hit on his head n kill him😈👿,angry,Zombie attack😓😒 If a zombie wants to eat your face you might as well let it No if I have some thing in my hand I will hit on his head n kill him😈👿
😂 😂 right,Appatasiri. High five then! 🖑😂😂😂😂,😂,happy,😂 😂 right Appatasiri. High five then! 🖑😂😂😂😂 😂
You can't even spell problem correctly,Will you endorse me for my skills in using autocorrect? 😾😠,You should take up some English proficiency classes,others,You can't even spell problem correctly Will you endorse me for my skills in using autocorrect? 😾😠 You should take up some English proficiency classes
It's SO necessar,name one reason,Ghost 👻,others,It's SO necessar name one reason Ghost 👻
BT u don't to me,talk to the hand,Even u hate me huh😭,angry,BT u don't to me talk to the hand Even u hate me huh😭
Damn...💔,I FEEL YOU..... I'm breaking into million pieces😥😭💔😞,Me to I feel like every part of me is just shattered 💔😪,sad,Damn...💔 I FEEL YOU..... I'm breaking into million pieces😥😭💔😞 Me to I feel like every part of me is just shattered 💔😪
