Id,Label,Text,Sentiment,Pred
5.1388e+17,Positive,"@Kerahbeliebs Do me a favor and please rt or fave the tweet inside the link, THANK YOU LOL😊💕 https://t.co/SCWj7dVIYT",1.278,Neutral
5.13163e+17,Neutral,@mightyespinosa lmao okay ☺️☺️☺️👍👍 keep me updated next time you go .. I want to see how it goes 😊😊😊😊😊😊😊,2.979,Positive
5.14839e+17,Neutral,@cohorted I'm still a new blogger but would love any feedback &gt;&gt; http://t.co/MK931HmxLo 💃 #BBloggers #fbloggers #lbloggers,0.736,Positive
5.14154e+17,Neutral,someone come study for biology with me😂,0.221,Positive
5.14265e+17,Neutral,RT @SoDamnTrue: I want these so bad 😻🙀 http://t.co/YiPuCUw3d8,0.9650000000000001,Positive
5.11674e+17,Neutral,"growing up, every girl had wet dreams about lil fizz 😍💦",1.154,Positive
5.12004e+17,Neutral,@NokiaPilipinas here my answers  #AppsX2  #love ❤️ to win this 📱 #NokiaX2 po pls...  🙏 🙏 🙏 http://t.co/qhcu5nRZpf,1.581,Positive
5.118e+17,Negative,RT @CharlesWells89: Working in a school in Wansted in my own world then I went through the wrong door into a whole school assembly😳 young g…,0.018,Neutral
5.12266e+17,Positive,@SherryTkh_ hello miss u too see u soon okai💕 g n die pls,0.633,Neutral
5.14365e+17,Positive,@L__gaga__ omg yes 👌,0.564,Negative
5.12329e+17,Neutral,@_tombolton she was my science teacher in like year 8 and I was scared shitless of her😂,0.221,Negative
5.12112e+17,Neutral,RT @tayybayybeey: #BestFriendAppreciationTweet love these little shits 💖 http://t.co/QgRHjtmfVi,0.713,Positive
5.13518e+17,Neutral,RT @fIirtation: Muscular backs&gt;&gt;😍 http://t.co/AvFHprVx8R,0.678,Positive
5.13969e+17,Neutral,"@MelhemBoustani he's not, his lyrics are 😏",0.332,Negative
5.12484e+17,Neutral,"Hungloe Boys Aka First 48 Squad Cuzzo Mac, Bro Shad, And Me Myself Lol Thats A TBT Not Really Cause We Still That 😭😭😭",-0.279,Negative
5.14905e+17,Neutral,RT @mooosey123: You're an utter shit but one full of surprises and loveliness👌👌💩,1.0099999999999998,Positive
5.13762e+17,Negative,"please boris ? 😭

ILYSM 🙊💘

#BorisTo200K 

@BorisLaursen
 x79",1.057,Neutral
5.12824e+17,Positive,"You know what would be nice right now? _______. 😶❓
You know.. 😏 
🍁➡️🔥➡️😙💨➡️😄😏",2.827,Neutral
5.12821e+17,Negative,@lailonetaylor my life depended on it😌. My eyes forever closed,0.484,Positive
5.13047e+17,Neutral,"🍕🍕🍕🍕🍕

@Michael5SOS

Follow me

I'll give you free pizza

I love you😘

🍕🍕🍕🍕🍕
345",3.222,Positive
5.14948e+17,Neutral,@Harry_Styles you are so perfect it hurts😭😭,-0.186,Negative
5.11965e+17,Negative,She better go on 😂😂,0.442,Positive
5.13813e+17,Neutral,RT @MikaylaJoBaxley: And then Tupp nailed Brittany in the head 😂,0.221,Positive
5.11421e+17,Negative,Fuuuck It 💁,0.328,Neutral
5.12324e+17,Positive,RT @Harvey: Rt For A Slide Into Your Dms 😉🙈,0.897,Neutral
5.13078e+17,Neutral,@_Housepride since I was born Kj duh 💁,0.328,Positive
5.15141e+17,Positive,I wanna trace the universe on your palm🌌🌃,0.964,Neutral
5.14207e+17,Neutral,@paige51699 @chelseakate98 oh okay good ahahh😂😂,0.442,Positive
5.12608e+17,Neutral,💓good god💓 http://t.co/nIQsygQxDz,1.344,Positive
5.13369e+17,Negative,round 2 tonighttttt😍👅💦🍻,2.1430000000000002,Positive
5.14835e+17,Neutral,@ParkerHall_66 @BGeames I really just want to point out that I also have on Chacos and will probably wear them in the snow this year. 😉,0.464,Positive
5.13465e+17,Neutral,“@Bad_Bentley: http://t.co/97EcTBoqjz get my personal videos.... 💙 http://t.co/LehwCZirLg”,0.732,Positive
5.12645e+17,Neutral,"RT @BetsyDevine: There's other fish in the sea so take a swim. 🐠🐟 

You tryin to work it out.. save that for the gym. 👊

@thegame 👏👏👏",2.9779999999999998,Positive
5.1278e+17,Neutral,@OhGoshMyracle_ 😂so go delete it,0.221,Positive
5.14163e+17,Positive,Damnnn😂😨,0.08000000000000002,Negative
5.13214e+17,Neutral,@sami_grace OMG haha that was great! Thank you for that! 😂,0.221,Positive
5.14652e+17,Negative,"ion like when people who're taken comment ""😍😍😍"" or ask for my kik like df stop",2.0340000000000003,Neutral
5.14511e+17,Neutral,please hurry 🐬☀️🍹✈️💆 http://t.co/eFkd9oO3C5,1.36,Positive
5.13961e+17,Neutral,"@wallypodj @juliaespino_ YOU LAUGHED AT YOURSELF HARDER THAN WE DID, DUDE 😂",0.221,Positive
5.11647e+17,Neutral,Literally been working on it for an hour 😂,0.221,Positive
5.14487e+17,Neutral,Sike the only bad bitch in my chevy is me 😂😘😍,1.601,Positive
5.1184e+17,Neutral,"Hey, @KISSFMPhoenix  Check out: @HeffronDrive #HappyMistakes #HDNicotine http://t.co/Mz7c8MHnt2  http://t.co/wkGj1YzF72 👍",0.522,Positive
5.12129e+17,Positive,Let a nigga try me 😴👌,0.48299999999999993,Negative
5.14135e+17,Neutral,@Maaaarissav It's way before Meredith is pregnant 😒😒,-0.75,Negative
5.14057e+17,Negative,Np: RUDE💗 NO STILL MEANS NO ! 😉😉,1.587,Positive
5.12849e+17,Positive,@sonaeus thankyou yeay. follback?😋,0.634,Neutral
5.15001e+17,Positive,"👌 ""Make more moves, less announcements""",0.564,Negative
5.1425e+17,Positive,@_Tina_Nguyen 💁 thats right,0.328,Neutral
5.12971e+17,Positive,Got a 90 on tht trig test 😏,0.332,Negative
5.12998e+17,Negative,. @sukaul @FareedZakaria more like Fareed n others doesn't have a choice. Wolf packs sense the top dog and follow him 😆😆😆😆😆,1.236,Positive
5.12773e+17,Positive,RT @BestHairstyIes: This hair please 😌 http://t.co/u5076sqbRt,0.484,Neutral
5.13668e+17,Neutral,@katieeeeeeeG who's this about😳,0.018,Negative
5.11988e+17,Neutral,shit dont feel the same man 😏,0.332,Negative
5.13792e+17,Positive,Tell me how you want it😯 I'm on it😏😏,0.793,Neutral
5.14979e+17,Negative,@JuicyJalyn she look like she Bailey sister 🙈😂,0.654,Positive
