Text,positive,negative,Lab,Label,Sentiment,Pred
"Již tento pátek! 🏆 V 10:00 losujeme 3 vítěze skútrů Lambretta, sledujte živý přenos na našem Facebook profilu.",0.585,0.415,3.0,Positive,0.737,Negative
Tak teraz je 17:25 😀 Krásny večer,0.5322,0.4678,3.0,Neutral,0.572,Positive
Najblizsie niekam sa okupat Nimnica alebo Puchov😉,0.3794,0.6206,2.0,Negative,0.464,Neutral
�� mám roztrhať aj vás? 🥺😢,0.4637,0.5363,2.0,Neutral,0.007,Negative
Mne stale vyskakuje ze not found a prazdna biela strana 🤔,0.4611,0.5389,2.0,Neutral,0.0,Negative
�� 🔴 Po stretnutí Igora Matoviča s Andrejom Kiskom,0.4384,0.5616,2.0,Negative,0.422,Neutral
aj ja teba ty moja čaja❤😂😂a aj tebe pekneho Valentýna ❤❤❤❤❤❤❤❤❤,0.4377,0.5623,2.0,Negative,0.442,Positive
A jazdite na mercedese ? 🤔,0.5177,0.4823,3.0,Neutral,0.0,Negative
Hrabe hrabe hrabe ?  Áno aj ten jazyk je budúcnosť 🌞,0.575,0.425,3.0,Positive,0.568,Negative
Doma s deťmi a s kopou návštev 🤗🍾🍾🍾,0.4647,0.5353,2.0,Neutral,0.0,Negative
Zmenu zákonov? Ja že zmenu sudcov 🤣,0.4661,0.5339,2.0,Neutral,0.0,Negative
Pošlite mi dakto dačo o ňom vďaka 😊,0.6808,0.3192,3.0,Positive,0.645,Negative
"Britský okruh Silverstone hostil úvodní podnik druhé poloviny sezóny Mercedes-Benz Virtual GP 2020. 🔥 Poprvé se zde také představily formulové vozy IndyCar a jezdci v týmech se za volantem monopostu během závodu střídali. Změna podmínek byla znát, takže první fomulový závod byl bohatý na kolize a poprvé v sezóně dojel na prvním místě Lukáš Přáda. 🏁",0.5195,0.4805,3.0,Neutral,0.711,Negative
Boh nás varuj od takých osobností. 🙏,0.4562,0.5438,2.0,Neutral,0.418,Negative
"🚩Tento příspěvek je speciální!🚩\n\nPotěšíte jím partnerku a zároveň pro ni můžete vyhrát k MDŽ #GalaxyWatch.⌚️ Jak na to?👌 Napište nám do komentářů, jak jste svou milou poznali.💛 Bylo to romantické? Vtipné? Nečekané? A nezapomeňte ji označit, jinak se o tom nedozví.🥰\n\nVítěze vybere odborná porota, ale pokud se vám líbil příběh jiného soutěžícího, tak ho určitě podpořte ❤ nebo 👍. Zlepšíte mu den! A pozor, soutěžíme jen do čtvrtka do 12:00, tak si pospěšte.🤓\n\nPravidla soutěže najdete v záložce -> Informace -> Další informace.☝️\n\n(Obrázek na displeji hodinek je jen ilustrační)",0.1507,0.8493,2.0,Negative,1.462,Positive
Nám by sa hodilo určite C na tu našu záhradu.... 😀 😀 😀,0.513,0.48700000000000004,3.0,Neutral,1.7159999999999997,Positive
"S manželom, dcérkou a priateľmi 💙💗💛",0.4431,0.5569,2.0,Negative,2.104,Positive
Pre Olivku ❤ Janka Hammka😘😘,0.5402,0.4598,3.0,Neutral,1.404,Positive
"Naucit sa poriadne varit, aby som dcerke ako rastie varila same dobrotky 🤗",0.5272,0.4728,3.0,Neutral,0.0,Negative
My mame najradšej jablkovu🙂,0.287,0.713,2.0,Negative,0.0,Neutral
Oddychom a pojdem navstivit starku 😉,0.3382,0.6618,2.0,Negative,0.464,Neutral
Vcera mi prvy krat napadlo ci bolo rozumne si kupovat listky proti Svedsku....🙊,0.4615,0.5385,2.0,Neutral,0.461,Negative
Hrozno mám rada ale len bezkôstkové 🤗🤗,0.6186,0.3814,3.0,Positive,0.0,Negative
Leg city loď 🚢 obaja synovia by sa tesili.,0.5522,0.4478,3.0,Positive,0.3,Negative
��🤡🤡 kde ma Igor nejaký slávnostný modrý nos ? ,0.6793,0.3207,3.0,Positive,0.0,Negative
"Ústava S.R,zdrap papiera ktorým si vláda dennodenne vytiera konečníka😒😒😒",0.5313,0.4687,3.0,Neutral,-1.125,Negative
"Liptovský Mikuláš 6,8 stupňa, ⛅",0.3758,0.6242,2.0,Negative,0.486,Neutral
Šimon Fiantok a sezóna začína kedy ty mudrlant ?🤔,0.5538,0.4462,3.0,Positive,0.0,Negative
"Pilos 🥛,Lupilu👶🏻Saguaro💦🥤, Cien👄👁✌🏻, Esmara 👚👕👖👔👗👠👙🧢👟🧦🧤",0.5014,0.4986,3.0,Neutral,5.085,Positive
Martin Tokár Tomáš Hažlinský Tomáš Mihalovič ideme na bad boys ? 😹😹😹,0.4598,0.5402,2.0,Neutral,0.42599999999999993,Negative
"je úplne jedno aké lego by to bolo, hlavne, keď sa deti vedia podeliť 😉",0.2951,0.7049,2.0,Negative,0.464,Positive
práve mám 11:02 ☺️ dvakrát budeme mať dve hodiny 😁,0.4522,0.5478,2.0,Neutral,0.45,Positive
Syr obsahuje laktozu🤔??? Kolko?,0.4656,0.5344,2.0,Neutral,0.0,Negative
Trubanko nervozny treba šľuka 😅😆,0.6009,0.3991,3.0,Positive,0.592,Neutral
